,rate,ampl,duration
FC5_p-pre_1_0,0,0,0
FC5_pre_1_0,0,0,0
FC5_prep_1_0,0,0,0
FC5_mov_1_0,0.6666666666666666,1.848897130136564e-06,120.0
FC5_mov_1_1,0.6666666666666666,1.6339990653613958e-06,108.0
FC5_rel_1_0,0.6666666666666666,3.823249846418193e-06,108.0
FC5_post_1_0,0.6666666666666666,3.1064853774392514e-06,116.0
FC5_post_1_1,0.6666666666666666,2.7546618015920107e-06,104.0
FC5_p-post_1_0,0.7987220447284346,2.3757441237673255e-06,128.0
FC5_p-post_1_1,0.7987220447284346,5.0577531810874794e-06,188.0
FC5_p-pre_2_0,2.5,1.8113232598499854e-06,176.0
FC5_pre_2_0,1.0,2.9693294392895814e-06,144.0
FC5_prep_2_0,0,0,0
FC5_mov_2_0,0.6666666666666666,2.2249545076614892e-06,112.0
FC5_mov_2_1,0.6666666666666666,1.5148553498163998e-06,108.0
FC5_rel_2_0,0,0,0
FC5_post_2_0,0,0,0
FC5_p-post_2_0,0.3993610223642173,1.2824658319394136e-06,160.0
FC5_p-pre_3_0,0,0,0
FC5_pre_3_0,1.0,3.0880248568794424e-06,160.0
FC5_prep_3_0,0,0,0
FC5_mov_3_0,0,0,0
FC5_rel_3_0,0,0,0
FC5_post_3_0,0.3333333333333333,2.3231464931589676e-06,112.0
FC5_p-post_3_0,0,0,0
FC5_p-pre_4_0,0,0,0
FC5_pre_4_0,0,0,0
FC5_prep_4_0,0,0,0
FC5_mov_4_0,0.3333333333333333,1.0978610413449746e-06,108.0
FC5_rel_4_0,0.6666666666666666,1.6173547688453459e-06,108.0
FC5_post_4_0,1.0,4.530409609415923e-06,120.0
FC5_post_4_1,1.0,2.223468731982235e-06,176.0
FC5_post_4_2,1.0,3.236633794812334e-06,116.0
FC5_p-post_4_0,0,0,0
FC5_p-pre_5_0,0,0,0
FC5_pre_5_0,1.0,3.310961713347278e-06,116.0
FC5_prep_5_0,1.6666666666666667,4.576949841461426e-06,112.0
FC5_mov_5_0,0.3333333333333333,1.4647238415281019e-06,120.0
FC5_rel_5_0,0,0,0
FC5_post_5_0,0.6666666666666666,1.7833684421028554e-06,108.0
